"JADUAL 7 (SAMB) : EKSPORT & IMPORT MENGIKUT SEKTOR DAN BARANGAN TERPILIH (RM JUTA), 2021-2023",,,,,,,,,,
"TABLE 7 (CONT'D) : EXPORTS & IMPORTS BY SECTOR AND SELECTED COMMODITIES (RM MILLION), 2021-2023",,,,,,,,,,
,,,,,,,,,,
SEKTOR / BARANGAN,EKSPORT/EXPORTS,,,,IMPORT/IMPORTS,,,,,
SECTOR / SELETED COMMODITIES,2021,2022,2023,,2021,2022,2023,,,
,,,,,,,,,,
JUMLAH/TOTAL," 1,241,022 "," 1,550,009 "," 1,426,199 ",," 987,344 "," 1,293,811 "," 1,211,044 ",,,
,,,,,,,,,,
PERTANIAN," 98,093 "," 120,903 "," 94,818 ",," 60,754 "," 72,342 "," 66,505 ",,,
AGRICULTURE,,,,,,,,,,
,,,,,,,,,,
GETAH ASLI," 4,568 "," 4,592 "," 3,714 ",," 7,339 "," 7,244 "," 5,729 ",,,
NATURAL RUBBER,,,,,,,,,,
,,,,,,,,,,
KAYU BALAK, 528 , 535 , 563 ,, 223 , 216 , 96 ,,,
SAWLOG,,,,,,,,,,
,,,,,,,,,,
KAYU GERGAJI & KAYU KUMAI," 3,272 "," 3,592 "," 3,141 ",, 938 ," 1,075 ", 868 ,,,
SAWN TIMBER & MOULDINGS,,,,,,,,,,
,,,,,,,,,,
MINYAK KELAPA SAWIT," 64,615 "," 82,480 "," 59,450 ",," 6,210 "," 7,593 "," 4,652 ",,,
PALM OIL,,,,,,,,,,
,,,,,,,,,,
LAIN-LAIN," 25,109 "," 29,704 "," 27,949 ",," 46,044 "," 56,214 "," 55,160 ",,,
OTHERS,,,,,,,,,,
,,,,,,,,,,
PERLOMBONGAN," 69,757 "," 117,346 "," 106,078 ",," 53,026 "," 120,948 "," 113,024 ",,,
MINING,,,,,,,,,,
,,,,,,,,,,
TIMAH," 2,118 "," 2,207 "," 1,904 ",, 642 , 662 , 571 ,,,
TIN,,,,,,,,,,
,,,,,,,,,,
PETROLEUM MENTAH," 18,372 "," 31,847 "," 28,733 ",," 14,131 "," 52,941 "," 60,972 ",,,
CRUDE PETROLEUM,,,,,,,,,,
