JADUAL 10(b) : EKSPORT DAN IMPORT MENGIKUT SEKSYEN BARANGAN ANTARA SABAH DENGAN SEMENANJUNG MALAYSIA DAN SARAWAK,,,,,,,,,,,,,
"(RM JUTA), 2019-2023",,,,,,,,,,,,,
TABLE 10 (b) : EXPORTS AND IMPORTS BY SECTION OF GOODS BETWEEN SABAH AND PENINSULAR MALAYSIA AND SARAWAK,,,,,,,,,,,,,
"(RM MILLION), 2019-2023",,,,,,,,,,,,,
,,,,,,,,,,,,,
,EKSPORT SABAH KE / ,,,,,,,,,,,,
,SABAH'S EXPORTS TO,,,,,,,,,,,,
SEKSYEN BARANGAN,SEM. MALAYSIA/PEN. MALAYSIA,,,,,,SARAWAK,,,,,,
COMMODITY SECTIONS,2019,2020,2021,2022,2023,,2019,2020,2021,2022,2023,,
,,,,,,,,,,,,,
JUMLAH/TOTAL," 12,014 "," 10,745 "," 16,378 "," 25,102 "," 22,079 ",," 1,620 "," 1,299 "," 1,123 "," 1,527 "," 1,872 ",,
,,,,,,,,,,,,,
MAKANAN DAN BINATANG HIDUP, 414 , 435 , 372 , 266 , 257 ,, 27 , 33 , 20 , 14 , 9 ,,
FOOD AND LIVE ANIMALS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MINUMAND LIVE ANIMAL, * , 1 , 1 , * , 1 ,, 4 , 5 , 4 , 5 , 5 ,,
BEVERAGES AND TOBACCO,,,,,,,,,,,,,
,,,,,,,,,,,,,
"BAHAN MENTAH, TIDAK BOLEH DIMAKAN, KECUALI BAHAN API", 229 , 147 , 191 , 362 , 361 ,, 165 , 69 , 75 , 124 , 177 ,,
"CRUDE MATERIALS, INEDIBLE, EXCEPT FUELS",,,,,,,,,,,,,
,,,,,,,,,,,,,
"BAHAN API GALIAN, PELINCIR DAN BAHAN BERKAITAN"," 9,524 "," 8,301 "," 13,135 "," 21,600 "," 18,534 ",, 103 , 42 , 28 , 36 , 54 ,,
"MINERAL FUELS, LUBRICANTS AND RELATED MATERIALS",,,,,,,,,,,,,
,,,,,,,,,,,,,
