JADUAL 10(C) : EKSPORT DAN IMPORT MENGIKUT SEKSYEN BARANGAN ANTARA SARAWAK DENGAN SEMENANJUNG MALAYSIA DAN SABAH,,,,,,,,,,,,,
"(RM JUTA), 2019-2023",,,,,,,,,,,,,
TABLE 10 (C) : EXPORTS AND IMPORTS BY SECTION OF GOODS BETWEEN SARAWAK AND PENINSULAR MALAYSIA AND SABAH,,,,,,,,,,,,,
"(RM MILLION), 2019-2023",,,,,,,,,,,,,
,,,,,,,,,,,,,
,EKSPORT SARAWAK KE / ,,,,,,,,,,,,
,SARAWAK'S EXPORTS TO,,,,,,,,,,,,
SEKSYEN BARANGAN,SEM. MALAYSIA/PEN. MALAYSIA,,,,,,SABAH,,,,,,
COMMODITY SECTIONS,2019,2020,2021,2022,2023,,2019,2020,2021,2022,2023,,
,,,,,,,,,,,,,
JUMLAH/TOTAL," 15,301 "," 9,645 "," 14,960 "," 20,626 "," 18,005 ",," 3,571 ", 292 , 507 , 257 , 323 ,,
,,,,,,,,,,,,,
MAKANAN DAN BINATANG HIDUP, 162 , 144 , 134 , 132 , 153 ,, 16 , 21 , 37 , 22 , 25 ,,
FOOD AND LIVE ANIMALS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MINUMAND LIVE ANIMAL, 17 , 11 , 10 , 14 , 24 ,, 11 , 8 , 10 , 12 , 9 ,,
BEVERAGES AND TOBACCO,,,,,,,,,,,,,
,,,,,,,,,,,,,
"BAHAN MENTAH, TIDAK BOLEH DIMAKAN, KECUALI BAHAN API", 370 , 277 , 426 , 461 , 380 ,, 24 , 15 , 9 , 11 , 8 ,,
"CRUDE MATERIALS, INEDIBLE, EXCEPT FUELS",,,,,,,,,,,,,
,,,,,,,,,,,,,
"BAHAN API GALIAN, PELINCIR DAN BAHAN BERKAITAN"," 11,839 "," 6,064 "," 11,040 "," 14,169 "," 12,034 ",, 33 , 35 , 191 , 54 , 74 ,,
"MINERAL FUELS, LUBRICANTS AND RELATED MATERIALS",,,,,,,,,,,,,
,,,,,,,,,,,,,
"MINYAK, LEMAK DAN MINYAK TEPU BINATANG DAN SAYURAN", 826 ," 1,021 "," 1,163 "," 1,774 "," 1,331 ",, 22 , 33 , 13 , - , 13 ,,
"ANIMAL AND VEGETABLE OILS, FATS AND WAXES",,,,,,,,,,,,,
,,,,,,,,,,,,,
"BAHAN KIMIA DAN KELUARAN BERKAITAN, T.T.T.L.", 220 , 241 , 312 , 515 , 352 ,, 12 , 12 , 14 , 10 , 31 ,,
"CHEMICALS AND RELATED PRODUCTS, N.E.S.",,,,,,,,,,,,,
,,,,,,,,,,,,,
BARANG-BARANG KELUARAN KILANG MENGIKUT JENIS BAHAN," 1,083 "," 1,329 "," 1,264 "," 2,849 "," 2,786 ",, 153 , 92 , 140 , 64 , 54 ,,
MANUFACTURED GOODS CLASSIFIED CHIEFLY BY MATERIAL,,,,,,,,,,,,,
,,,,,,,,,,,,,
JENTERATURED GOODS CLASSIFIED CHIE, 669 , 483 , 515 , 627 , 804 ,," 3,286 ", 68 , 81 , 65 , 87 ,,
MACHINERY AND TRANSPORT EQUIPMENT,,,,,,,,,,,,,
,,,,,,,,,,,,,
PELBAGAIY AND TRANSPORT EQUIPME, 87 , 61 , 79 , 54 , 97 ,, 11 , 6 , 9 , 6 , 8 ,,
MISCELLANEOUS MANUFACTURED ARTICLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
"URUS NIAGA DAN BARANGAN YANG TIDAK 
DIKELASKAN DIMANA-MANA", 27 , 14 , 17 , 30 , 44 ,, 2 , 2 , 5 , 13 , 14 ,,
"COMMODITIES AND TRANSACTIONS NOT CLASSIFIED 
ELSEWHERE IN THE SITC",,,,,,,,,,,,,
,IMPORT SARAWAK DARI /,,,,,,,,,,,,
,SARAWAK'S IMPORT FROM,,,,,,,,,,,,
SEKSYEN BARANGAN,SEM. MALAYSIA/PEN. MALAYSIA,,,,,,SABAH,,,,,,
COMMODITY SECTIONS,2019,2020,2021,2022,2023,,2019,2020,2021,2022,2023,,
,,,,,,,,,,,,,
JUMLAH/TOTAL," 22,701 "," 20,475 "," 24,314 "," 28,523 "," 30,205 ",," 1,723 "," 1,417 "," 1,204 "," 1,685 "," 2,043 ",,
,,,,,,,,,,,,,
MAKANAN DAN BINATANG HIDUP," 2,601 "," 2,690 "," 2,920 "," 3,361 "," 3,367 ",, 32 , 36 , 20 , 13 , 11 ,,
FOOD AND LIVE ANIMALS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MINUMAND LIVE ANIMAL, 758 , 678 , 707 , 984 , 897 ,, 6 , 5 , 5 , 6 , 8 ,,
BEVERAGES AND TOBACCO,,,,,,,,,,,,,
,,,,,,,,,,,,,
"BAHAN MENTAH, TIDAK BOLEH DIMAKAN, KECUALI BAHAN API", 160 , 147 , 148 , 191 , 186 ,, 159 , 94 , 70 , 150 , 201 ,,
"CRUDE MATERIALS, INEDIBLE, EXCEPT FUELS",,,,,,,,,,,,,
,,,,,,,,,,,,,
"BAHAN API GALIAN, PELINCIR DAN BAHAN BERKAITAN"," 1,600 "," 1,184 "," 1,694 "," 2,855 "," 2,858 ",, 105 , 63 , 43 , 111 , 78 ,,
"MINERAL FUELS, LUBRICANTS AND RELATED MATERIALS",,,,,,,,,,,,,
,,,,,,,,,,,,,
"MINYAK, LEMAK DAN MINYAK TEPU BINATANG DAN SAYURAN", 53 , 56 , 69 , 79 , 68 ,, * , 17 , 34 , 143 , * ,,
"ANIMAL AND VEGETABLE OILS, FATS AND WAXES",,,,,,,,,,,,,
,,,,,,,,,,,,,
"BAHAN KIMIA DAN KELUARAN BERKAITAN, T.T.T.L."," 2,364 "," 2,324 "," 3,329 "," 3,430 "," 3,400 ",, 345 , 250 , 277 , 365 , 436 ,,
"CHEMICALS AND RELATED PRODUCTS, N.E.S.",,,,,,,,,,,,,
,,,,,,,,,,,,,
BARANG-BARANG KELUARAN KILANG MENGIKUT JENIS BAHAN," 3,669 "," 3,362 "," 4,248 "," 4,596 "," 5,652 ",, 344 , 367 , 295 , 323 , 479 ,,
MANUFACTURED GOODS CLASSIFIED CHIEFLY BY MATERIAL,,,,,,,,,,,,,
,,,,,,,,,,,,,
JENTERATURED GOODS CLASSIFIED CHIE," 8,235 "," 7,585 "," 8,800 "," 10,163 "," 10,839 ",, 624 , 508 , 396 , 493 , 732 ,,
MACHINERY AND TRANSPORT EQUIPMENT,,,,,,,,,,,,,
,,,,,,,,,,,,,
PELBAGAIY AND TRANSPORT EQUIPME," 3,173 "," 2,370 "," 2,296 "," 2,713 "," 2,767 ",, 98 , 69 , 54 , 67 , 76 ,,
MISCELLANEOUS MANUFACTURED ARTICLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
"URUS NIAGA DAN BARANGAN YANG TIDAK 
DIKELASKAN DIMANA-MANA", 87 , 77 , 104 , 152 , 173 ,, 10 , 7 , 10 , 15 , 21 ,,
"COMMODITIES AND TRANSACTIONS NOT CLASSIFIED 
ELSEWHERE IN THE SITC",,,,,,,,,,,,,
